Brand, Product_Name, Shipping_details
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,Free Shipping
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,$3.99 Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 8GT OC 8GB 256-Bit GDDR5 PCI Express x16 (Uses x8) HDCP Ready ATX Video Card,Free Shipping
ASUS,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),Free Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti XC HYBRID GAMING| 11G-P4-2384-KR| 11GB GDDR6| HYBRID| RGB LED Logo| Metal Backplate,Free Shipping
EVGA,EVGA GeForce GTX 1660 Ti XC Black GAMING| 06G-P4-1261-KR| 6GB GDDR6| HDB Fan,$3.99 Shipping
EVGA,EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,Free Shipping
EVGA,EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
ASRock,ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO 4GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,Free Shipping
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,$3.99 Shipping
ASUS,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,Free Shipping
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,$4.99 Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6| 04G-P4-1257-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$2.99 Shipping
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI Radeon RX 5700 DirectX 12 RX 5700 MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,$1.99 Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING| 08G-P4-3188-KR| 8GB GDDR6| RGB LED Logo| Metal Backplate,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6,$3.99 Shipping
EVGA,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING| 06G-P4-1068-KR| 6GB GDDR6| Dual Fan| Metal Backplate,$3.99 Shipping
