Name, Rating, Price
Apple iPhone 7 (Black| 32 GB),4.5,"? 29,499"
Apple iPhone 11 (Purple| 64 GB),4.7,"? 68,300"
Apple iPhone 7 Plus (Gold| 32 GB),4.5,"? 36,999"
Frocel Selfie Stick Accessory Combo for Apple iPhone| N...,3.7,? 359
Apple iPhone XR (Coral| 128 GB),4.6,"? 57,800"
Apple iPhone 7 (Rose Gold| 32 GB),4.5,"? 29,499"
Apple iPhone 11 (Purple| 128 GB),4.7,"? 73,600"
Apple iPhone XR ((PRODUCT)RED| 64 GB),4.6,"? 52,500"
Apple iPhone 8 (Gold| 64 GB),4.5,"? 38,999"
Apple iPhone SE (Black| 64 GB),,"? 42,500"
